Mao_Jogador,2,3,4,5,6,7,8,9,10,A
17+,P,P,P,P,P,P,P,P,P,P
16,P,P,P,P,P,PC,PC,PC,PC,PC
15,P,P,P,P,P,PC,PC,PC,PC,PC
14,P,P,P,P,P,PC,PC,PC,PC,PC
13,P,P,P,P,P,PC,PC,PC,PC,PC
12,PC,PC,P,P,P,PC,PC,PC,PC,PC
11,D,D,D,D,D,D,D,D,D,PC
10,D,D,D,D,D,D,D,D,PC,PC
9,PC,D,D,D,D,PC,PC,PC,PC,PC
5-8,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC
"A,8-10",P,P,P,P,P,P,P,P,P,P
"A,7",P,D,D,D,D,P,P,PC,PC,PC
"A,6",PC,D,D,D,D,PC,PC,PC,PC,PC
"A,5",PC,PC,D,D,D,PC,PC,PC,PC,PC
"A,4",PC,PC,D,D,D,PC,PC,PC,PC,PC
"A,3",PC,PC,PC,D,D,PC,PC,PC,PC,PC
"A,2",PC,PC,PC,D,D,PC,PC,PC,PC,PC
"A,A / 8,8",R,R,R,R,R,R,R,R,R,R
"10,10",P,P,P,P,P,P,P,P,P,P
"9,9",R,R,R,R,R,P,R,R,P,R
"7,7",R,R,R,R,R,R,PC,PC,PC,PC
"6,6",R,R,R,R,R,PC,PC,PC,PC,PC
"5,5",D,D,D,D,D,D,D,D,PC,PC
"4,4",PC,PC,PC,R,R,PC,PC,PC,PC,PC
"3,3",R,R,R,R,R,R,PC,PC,PC,PC
"2,2",R,R,R,R,R,R,PC,PC,PC,PC
